,LH,FSH,SHBG,DHEAS,AMH,ANDRO,CORT_8,CORT_23,GLU0,GLU120,INS0,TCHOL,LDL,HDL,TG,WBC,NEUT_ABS,LYMPH_ABS,MONO_ABS,PLT,RDW,MPV,PDW,PCT,PLCR,TSH,FT4,ATA_TPO,ATA_TG
INS0,0.016883246272774877,-0.10049742667442461,-0.49632077446164713,0.16619029928862947,-0.03630310600555805,0.1019726251449956,-0.06577109882620218,-0.19821892110368858,0.31282032888167777,0.2279320448922307,1.0,0.12596227133478635,0.18186614171857973,-0.3829318230183093,0.45987623714787434,0.3883161277460631,0.3879366713230278,0.19696283171544623,0.26655685911835614,0.3303121352123261,0.13073401488314396,-0.010810270313618408,0.02295392312502092,0.3566500667550082,-0.0013675153158344026,0.07501475663143567,-0.08540390195274168,0.007719212763324772,-0.06657023464804011
TCHOL,0.04024764041432456,-0.007987946609619597,0.010186734934592032,-0.03691189748220879,0.07332065912765397,0.05992643432705862,0.05516413584752054,-0.030368323054706933,0.054739873033937764,0.06404460481788236,0.12596227133478635,1.0,0.9009051043678387,0.18103174947849354,0.3614995821029823,0.09037207969383475,0.08352664361510885,0.05257525035473926,0.06003198932258433,0.1639424653980279,0.10697044297700788,-0.07956554500571171,-0.06522834255002566,0.1380224042958662,-0.0749687864563643,0.135807294327251,-0.2299111615987769,0.006362651875132203,0.04053351363109799
LDL,0.03031714497849299,-0.030949492843569133,-0.07592794344790776,0.019704218439874032,0.06291884999850061,0.0676888572361606,0.00490510714493938,-0.058158606420824224,0.10558808895193326,0.09533266145945196,0.18186614171857973,0.9009051043678387,1.0,-0.14294813125552405,0.36209913837480945,0.15628247926673003,0.13203447260428783,0.10120975452248489,0.107372067242187,0.2009004244698533,0.08410396945507653,-0.06388422512344688,-0.045854163546908966,0.18212466329942406,-0.05832641149689131,0.11098761652747959,-0.20224812970556708,0.05425601516848607,0.10242175837371625
HDL,0.056272258653061784,0.12272748864423642,0.4416282604883867,-0.1754378419665775,0.04174659930161765,-0.045681911469133765,0.12048828101761318,0.12150665075284861,-0.20390249592606396,-0.20474782381850035,-0.3829318230183093,0.18103174947849354,-0.14294813125552405,1.0,-0.48517118624702105,-0.31173484297173676,-0.2797608500456971,-0.19566843071409987,-0.17886820898329092,-0.21978433973170466,-0.0025829918920793364,0.00867193397376978,-0.016754799344644977,-0.22552167378558755,-1.9802165446207635e-05,0.010534207651380552,0.014983888243122512,-0.09658154656413429,-0.0990153698395345
TG,-0.048957778831507884,-0.14213839858460756,-0.38977929018708113,0.08575767157992245,-0.018432158188914173,0.08554527393598273,0.010783500679952486,-0.11235218437554527,0.20450306156025036,0.20330325999416743,0.45987623714787434,0.3614995821029823,0.36209913837480945,-0.48517118624702105,1.0,0.3638867700243079,0.3344293746157823,0.2299638688586633,0.17832173642167948,0.3319742660329768,0.0883138353292495,-0.08439879492378771,-0.05137209077547015,0.32062349822316344,-0.07152891731641373,0.11706218313187153,-0.18287134146502645,0.03516220783686125,0.0086199150937421
WBC,-0.0614035087054134,-0.13005901021080105,-0.3726992940057654,0.1483627175491748,-0.011157206906418561,0.052232020561768885,0.00025999304886381493,-0.03858416816308393,0.16453770513118085,0.22419980130862502,0.3883161277460631,0.09037207969383475,0.15628247926673003,-0.31173484297173676,0.3638867700243079,1.0,0.8675140310672959,0.6033373990400863,0.6008570699535273,0.41809240894781297,0.061953083602040535,-0.04399857279971429,-0.022647458987333877,0.43450191828218643,-0.03278743006707025,0.04776570726880387,0.009738081934889278,0.08263786320043358,0.06811086295487317
NEUT_ABS,-0.04419359950662203,-0.11773366304650949,-0.37725904623498074,0.14815750865931737,-0.04635577534953912,0.03401345574615931,-0.013866359050063103,-0.033065605068880836,0.19393565022490203,0.22512733845498584,0.3879366713230278,0.08352664361510885,0.13203447260428783,-0.2797608500456971,0.3344293746157823,0.8675140310672959,1.0,0.20413052045360602,0.501063715170385,0.35719136034411364,0.06281372084474118,-0.014759367077190728,0.008583794241882839,0.3775591258089371,-0.0041040594470459916,0.022722376981515028,0.004689353097182552,0.0811183790291522,0.06132900904660604
LYMPH_ABS,-0.06137487076452237,-0.09027653869477827,-0.17593692559087876,0.07662840300547041,0.06353868778041936,0.06353910894560594,0.037513019472788484,-0.05004768080129402,0.01013881088792038,0.12606579145293703,0.19696283171544623,0.05257525035473926,0.10120975452248489,-0.19566843071409987,0.2299638688586633,0.6033373990400863,0.20413052045360602,1.0,0.2734307448621363,0.2511826399104846,-0.004666501225068302,-0.027605386273834055,-0.019479357181840025,0.265378411760263,-0.019308775933278812,0.07776737970221385,0.011028366676426501,0.04029774022507291,0.031348583331751105
MONO_ABS,0.03144883500792333,-0.0371996126705819,-0.2136434326205624,0.1656152213451983,-0.04074824105886613,0.05029528998373277,-0.03636310285412964,-0.08674863656175218,0.14253925287061034,0.08478754476491598,0.26655685911835614,0.06003198932258433,0.107372067242187,-0.17886820898329092,0.17832173642167948,0.6008570699535273,0.501063715170385,0.2734307448621363,1.0,0.2903854581746356,0.07819757193233752,0.029651607961908952,0.020259020890876,0.32800211175624255,0.029545303731006254,0.005147309184979681,0.07292345260713234,0.09657239896120662,0.10147621938509913
PLT,-0.038485502961497824,-0.07098158963024744,-0.2329351914359412,0.1444724928800003,-0.03704080247361034,0.011141402815554657,0.02986607066015902,-0.08617700475026996,0.14994822885566908,0.12276704669391696,0.3303121352123261,0.1639424653980279,0.2009004244698533,-0.21978433973170466,0.3319742660329768,0.41809240894781297,0.35719136034411364,0.2511826399104846,0.2903854581746356,1.0,0.15224090761073608,-0.382669639161678,-0.36499306551512206,0.9089166247841589,-0.3793650473810803,0.049490853880105296,-0.00971779387832383,0.034239565619303323,0.003053517320945943
RDW,0.034341115921662564,-0.05634941159069194,-0.007612548534834973,-0.02719723954275231,-0.031032960131509878,0.007113818897213742,-0.0020059982601259314,0.011015856774326037,0.10185655497737103,-0.03859429597853909,0.13073401488314396,0.10697044297700788,0.08410396945507653,-0.0025829918920793364,0.0883138353292495,0.061953083602040535,0.06281372084474118,-0.004666501225068302,0.07819757193233752,0.15224090761073608,1.0,0.003614914953158906,-0.01991237545007598,0.1767675167853667,-0.0078920404021844,0.03255241394293678,-0.1132045078344804,0.07256461476959905,0.03120093593353314
MPV,-0.0026954502046335153,0.05124831930350694,0.04815430300069932,-0.046817293093036956,-0.04511367993971335,0.01826948865981397,-0.10439142432593794,-0.01821185245375409,0.034595594048588245,0.03964744608773136,-0.010810270313618408,-0.07956554500571171,-0.06388422512344688,0.00867193397376978,-0.08439879492378771,-0.04399857279971429,-0.014759367077190728,-0.027605386273834055,0.029651607961908952,-0.382669639161678,0.003614914953158906,1.0,0.9684777499004181,-0.0006720068675942586,0.9957540581682517,0.04907593298313264,0.046418288787536004,0.047609013204113086,0.04044275607070631
PDW,-0.0033940121042759035,0.04279591502061277,0.015511521045728994,-0.03436055658077799,-0.022161827448632692,0.03525747893960424,-0.08835464746778487,-0.027840932965299162,0.03404765664298489,0.06314746222154466,0.02295392312502092,-0.06522834255002566,-0.045854163546908966,-0.016754799344644977,-0.05137209077547015,-0.022647458987333877,0.008583794241882839,-0.019479357181840025,0.020259020890876,-0.36499306551512206,-0.01991237545007598,0.9684777499004181,1.0,0.0061612405254379615,0.9781520781067297,0.05187489346819125,0.06189118684027263,0.035653646284515075,0.031955214934724
PCT,-0.033173486268779195,-0.0575246330143594,-0.22881122566931245,0.13169511417932314,-0.04891717176130934,0.02915828329602156,-0.010548813117637626,-0.10115540768719104,0.1811335122784417,0.15161451847030463,0.3566500667550082,0.1380224042958662,0.18212466329942406,-0.22552167378558755,0.32062349822316344,0.43450191828218643,0.3775591258089371,0.265378411760263,0.32800211175624255,0.9089166247841589,0.1767675167853667,-0.0006720068675942586,0.0061612405254379615,1.0,0.0016902087550603967,0.07141981771264808,0.013035674514509335,0.04839518357659793,0.00780600192858696
PLCR,-0.0022844754719463373,0.04948699241686745,0.039190018988133984,-0.04779712366823447,-0.03847207888050767,0.022367938094363146,-0.09656369750411503,-0.020247294477930975,0.03270118592816437,0.04708865306178869,-0.0013675153158344026,-0.0749687864563643,-0.05832641149689131,-1.9802165446207635e-05,-0.07152891731641373,-0.03278743006707025,-0.0041040594470459916,-0.019308775933278812,0.029545303731006254,-0.3793650473810803,-0.0078920404021844,0.9957540581682517,0.9781520781067297,0.0016902087550603967,1.0,0.055934389290869295,0.048603752934175376,0.04676508180246217,0.04153827684402501
TSH,-0.016920721811543304,0.01767826965057927,0.00893393576485579,-0.04903971320680743,-0.01407371828766962,0.02422707776187659,0.05386582106746287,-0.03994881676029122,0.04726352900964062,0.0216603770447235,0.07501475663143567,0.135807294327251,0.11098761652747959,0.010534207651380552,0.11706218313187153,0.04776570726880387,0.022722376981515028,0.07776737970221385,0.005147309184979681,0.049490853880105296,0.03255241394293678,0.04907593298313264,0.05187489346819125,0.07141981771264808,0.055934389290869295,1.0,-0.023121905672784625,0.01549052420551661,0.02033682876559481
FT4,0.16273389658751553,0.16220007819233964,0.1429830500513356,0.11072016795055485,0.02590221960395424,0.07765033933763066,-0.004554090383761404,0.027827343056242345,0.029219384026429655,-0.0889627782344775,-0.08540390195274168,-0.2299111615987769,-0.20224812970556708,0.014983888243122512,-0.18287134146502645,0.009738081934889278,0.004689353097182552,0.011028366676426501,0.07292345260713234,-0.00971779387832383,-0.1132045078344804,0.046418288787536004,0.06189118684027263,0.013035674514509335,0.048603752934175376,-0.023121905672784625,1.0,0.029381432808217357,0.06315079690559446
ATA_TPO,0.018609968637362407,0.004564113179701487,-0.039156206746724084,0.025987222852377975,-0.08716954673702619,-0.07027997849027935,-0.02543716848925663,-0.05186989695327764,0.032622418171413765,-0.03281513171021155,0.007719212763324772,0.006362651875132203,0.05425601516848607,-0.09658154656413429,0.03516220783686125,0.08263786320043358,0.0811183790291522,0.04029774022507291,0.09657239896120662,0.034239565619303323,0.07256461476959905,0.047609013204113086,0.035653646284515075,0.04839518357659793,0.04676508180246217,0.01549052420551661,0.029381432808217357,1.0,0.4271892370598006
ATA_TG,-0.0068637118328239415,0.0655100588868097,0.006163021761163815,0.030591377463993943,-0.09817520747939237,-0.30755054360547474,-0.11265795610318849,-0.03734354965080055,0.06128384507257705,-0.02500605694561785,-0.06657023464804011,0.04053351363109799,0.10242175837371625,-0.0990153698395345,0.0086199150937421,0.06811086295487317,0.06132900904660604,0.031348583331751105,0.10147621938509913,0.003053517320945943,0.03120093593353314,0.04044275607070631,0.031955214934724,0.00780600192858696,0.04153827684402501,0.02033682876559481,0.06315079690559446,0.4271892370598006,1.0
