source,target,weight,abs_weight,sign,source_domain,target_domain,cross_domain
GLU120,HOMA_IR,0.02321543807625557,0.02321543807625557,positive,metabolic,metabolic,False
PCT,SII,0.021647866160563,0.021647866160563,positive,inflammatory,inflammatory,False
WBC,PCT,0.0207229684442912,0.0207229684442912,positive,inflammatory,inflammatory,False
MONO_ABS,ATA_TG,0.020220892167671367,0.020220892167671367,positive,inflammatory,thyroid,True
FSH,GLU0,0.020166605446356668,0.020166605446356668,positive,endocrine,metabolic,True
MONO_ABS,FT4,0.020042193830815336,0.020042193830815336,positive,inflammatory,thyroid,True
RDW,HOMA_IR,0.018153052772212044,0.018153052772212044,positive,inflammatory,metabolic,True
INS0,ATA_TG,-0.017900675897848772,0.017900675897848772,negative,metabolic,thyroid,True
DHEAS,TSH,-0.01789637506061936,0.01789637506061936,negative,endocrine,thyroid,True
HOMA_IR,TG_HDL_ratio,0.017172665987899606,0.017172665987899606,positive,metabolic,metabolic,False
LH,ANDRO,0.017167896748521497,0.017167896748521497,positive,endocrine,endocrine,False
WBC,TG_HDL_ratio,0.017042611902196757,0.017042611902196757,positive,inflammatory,metabolic,True
GLU0,NLR,0.016774974754535352,0.016774974754535352,positive,metabolic,inflammatory,True
GLU0,ATA_TG,0.01653539570848013,0.01653539570848013,positive,metabolic,thyroid,True
GLU120,TG_HDL_ratio,0.015679385800754987,0.015679385800754987,positive,metabolic,metabolic,False
GLU120,NEUT_ABS,0.015555901256642026,0.015555901256642026,positive,metabolic,inflammatory,True
ANDRO,non_HDL,0.015530008768627491,0.015530008768627491,positive,endocrine,metabolic,True
ANDRO,CORT_8,0.015389722902000268,0.015389722902000268,positive,endocrine,endocrine,False
TG,TSH,0.015368294873200985,0.015368294873200985,positive,metabolic,thyroid,True
TSH,MLR,-0.015161903126427755,0.015161903126427755,negative,thyroid,inflammatory,True
GLU0,FT4,0.014614521464929421,0.014614521464929421,positive,metabolic,thyroid,True
PLT,PDW,-0.014339606953504846,0.014339606953504846,negative,inflammatory,inflammatory,False
CORT_8,MPV,-0.014321792196500165,0.014321792196500165,negative,endocrine,inflammatory,True
LDL,ATA_TG,0.014287482636019607,0.014287482636019607,positive,metabolic,thyroid,True
PCT,HOMA_IR,0.014248063446891827,0.014248063446891827,positive,inflammatory,metabolic,True
GLU0,RDW,0.014160679939934325,0.014160679939934325,positive,metabolic,inflammatory,True
WBC,HOMA_IR,0.01277367886761135,0.01277367886761135,positive,inflammatory,metabolic,True
PLCR,PLR,-0.012567949487089109,0.012567949487089109,negative,inflammatory,inflammatory,False
GLU120,TyG,0.012119599709447459,0.012119599709447459,positive,metabolic,metabolic,False
LH,CORT_23,-0.011816034382756392,0.011816034382756392,negative,endocrine,endocrine,False
MONO_ABS,NLR,-0.011352691073425018,0.011352691073425018,negative,inflammatory,inflammatory,False
GLU120,MLR,-0.011306511075434192,0.011306511075434192,negative,metabolic,inflammatory,True
GLU120,WBC,0.010838085770077869,0.010838085770077869,positive,metabolic,inflammatory,True
MONO_ABS,PLR,-0.010604442309180926,0.010604442309180926,negative,inflammatory,inflammatory,False
DHEAS,CORT_8,0.0104718323097937,0.0104718323097937,positive,endocrine,endocrine,False
ANDRO,GLU120,0.009728431445547648,0.009728431445547648,positive,endocrine,metabolic,True
PLT,TyG,0.009313272373517435,0.009313272373517435,positive,inflammatory,metabolic,True
SHBG,WBC,-0.009216586215820765,0.009216586215820765,negative,endocrine,inflammatory,True
DHEAS,RDW,-0.009172568080103005,0.009172568080103005,negative,endocrine,inflammatory,True
PDW,NLR,0.008930859477299278,0.008930859477299278,positive,inflammatory,inflammatory,False
FSH,WBC,-0.008874732617263846,0.008874732617263846,negative,endocrine,inflammatory,True
MPV,PLR,-0.008699045114246398,0.008699045114246398,negative,inflammatory,inflammatory,False
DHEAS,HDL,-0.008670162781241733,0.008670162781241733,negative,endocrine,metabolic,True
DHEAS,PLT,0.00865601005949248,0.00865601005949248,positive,endocrine,inflammatory,True
SHBG,TCHOL,0.00852023018935795,0.00852023018935795,positive,endocrine,metabolic,True
PLT,non_HDL,0.007803304078777419,0.007803304078777419,positive,inflammatory,metabolic,True
SHBG,AMH,0.007517065577700311,0.007517065577700311,positive,endocrine,endocrine,False
PDW,PLR,-0.007475388135285513,0.007475388135285513,negative,inflammatory,inflammatory,False
INS0,TG_HDL_ratio,0.007453004485350922,0.007453004485350922,positive,metabolic,metabolic,False
AMH,NLR,-0.007374200538859894,0.007374200538859894,negative,endocrine,inflammatory,True
HDL,ATA_TG,-0.007368383363259107,0.007368383363259107,negative,metabolic,thyroid,True
MPV,MLR,0.0072914280831446136,0.0072914280831446136,positive,inflammatory,inflammatory,False
WBC,SII,0.007236239109113082,0.007236239109113082,positive,inflammatory,inflammatory,False
PCT,TSH,0.0070830902221755854,0.0070830902221755854,positive,inflammatory,thyroid,True
HOMA_IR,SII,0.006994045441181678,0.006994045441181678,positive,metabolic,inflammatory,True
GLU120,HDL,-0.006886153860999852,0.006886153860999852,negative,metabolic,metabolic,False
PLT,MLR,-0.006694504384793635,0.006694504384793635,negative,inflammatory,inflammatory,False
WBC,ATA_TPO,0.0065616226815835505,0.0065616226815835505,positive,inflammatory,thyroid,True
AMH,MLR,-0.006476862987278473,0.006476862987278473,negative,endocrine,inflammatory,True
INS0,WBC,0.006327202460924196,0.006327202460924196,positive,metabolic,inflammatory,True
MONO_ABS,PCT,0.006279742787981547,0.006279742787981547,positive,inflammatory,inflammatory,False
DHEAS,CORT_23,0.006183918918822763,0.006183918918822763,positive,endocrine,endocrine,False
FSH,TG,-0.005725593715614676,0.005725593715614676,negative,endocrine,metabolic,True
LH,DHEAS,-0.005531189228580501,0.005531189228580501,negative,endocrine,endocrine,False
AMH,TCHOL,0.005432004727474516,0.005432004727474516,positive,endocrine,metabolic,True
PDW,MLR,0.0053879824253348285,0.0053879824253348285,positive,inflammatory,inflammatory,False
HDL,HOMA_IR,-0.005214902988230265,0.005214902988230265,negative,metabolic,metabolic,False
RDW,PLR,0.00484323846408628,0.00484323846408628,positive,inflammatory,inflammatory,False
CORT_23,TG_HDL_ratio,-0.004821664259653533,0.004821664259653533,negative,endocrine,metabolic,True
GLU0,SII,0.004813134201880956,0.004813134201880956,positive,metabolic,inflammatory,True
TG,MLR,-0.0046809864381699776,0.0046809864381699776,negative,metabolic,inflammatory,True
FSH,CORT_23,-0.004481545843487168,0.004481545843487168,negative,endocrine,endocrine,False
LH,MLR,0.004480188650264809,0.004480188650264809,positive,endocrine,inflammatory,True
AMH,PCT,-0.004204242151223355,0.004204242151223355,negative,endocrine,inflammatory,True
LYMPH_ABS,TG_HDL_ratio,0.004151581154208829,0.004151581154208829,positive,inflammatory,metabolic,True
TyG,SII,0.004104792803894284,0.004104792803894284,positive,metabolic,inflammatory,True
ANDRO,TG,0.003971547421516978,0.003971547421516978,positive,endocrine,metabolic,True
MONO_ABS,QUICKI,-0.003915741867657644,0.003915741867657644,negative,inflammatory,metabolic,True
